name,rating,genres,avg_user_rating,movieId
tenacious-d-in-the-pick-of-destiny,★★★,"Adventure, Fantasy, Comedy, Music",3.5,49396.0
the-prestige,★★★★½,"Science Fiction, Drama, Mystery",4.3,48780.0
this-is-england,★★★★,"Crime, Drama",4.1,52952.0
children-of-men,★★★★½,"Action, Drama, Science Fiction, Thriller",4.3,48774.0
borat-cultural-learnings-of-america-for-make-benefit-glorious-nation-of-kazakhstan,★★★★,Comedy,3.7,48385.0
pirates-of-the-caribbean-dead-mans-chest,★★★,"Action, Adventure, Fantasy",3.7,45722.0
click,★★½,"Drama, Comedy, Fantasy",2.9,45672.0
scary-movie-4,★★,Comedy,2.3,44972.0
ice-age-the-meltdown,★★★,"Adventure, Comedy, Family, Animation",3.1,44022.0
cars,★★★,"Adventure, Family, Comedy, Animation",3.8,45517.0
planet-earth-2006,★★★★½,Documentary,4.6,159817.0
little-miss-sunshine,★★★,"Drama, Comedy",4.2,46578.0
v-for-vendetta,★★★½,"Thriller, Science Fiction, Action",3.9,44191.0
king-kong-2005,★★★,"Drama, Action, Adventure",3.4,41569.0
harry-potter-and-the-goblet-of-fire,★★★½,"Adventure, Fantasy",3.8,40815.0
the-legend-of-zorro,★★★,"Western, Adventure, Action",2.8,39435.0
pride-prejudice,★★★★,"Drama, Romance",4.1,40629.0
brokeback-mountain,★★★★½,"Romance, Drama",4.1,39183.0
the-40-year-old-virgin,★★★½,"Romance, Comedy",3.3,35836.0
fantastic-four-2005,★★,"Science Fiction, Action, Fantasy",2.6,34150.0
mr-mrs-smith-2005,★★★,"Thriller, Drama, Action, Comedy",3.3,33679.0
batman-begins,★★★½,"Crime, Action, Drama",3.8,33794.0
star-wars-episode-iii-revenge-of-the-sith,★★★,"Science Fiction, Adventure, Action",3.9,33493.0
madagascar,★★★½,"Family, Adventure, Comedy, Animation",3.5,33615.0
hitch-2005,★★★,"Romance, Comedy, Drama",3.1,31685.0
national-treasure,★★★,"Thriller, Mystery, Adventure, Action",3.3,8972.0
the-incredibles,★★★½,"Animation, Family, Adventure, Action",4.1,8961.0
shark-tale,★★★,"Action, Animation, Comedy, Family",2.9,8907.0
i-robot,★★★,"Action, Science Fiction",3.2,8644.0
anchorman-the-legend-of-ron-burgundy,★★★½,Comedy,3.5,8641.0
spider-man-2,★★★½,"Action, Science Fiction, Adventure",3.9,8636.0
white-chicks,★★★,"Comedy, Crime",3.5,8531.0
harry-potter-and-the-prisoner-of-azkaban,★★★★,"Fantasy, Adventure",4.1,8368.0
the-day-after-tomorrow,★★★,"Action, Thriller, Science Fiction, Adventure",3.0,8361.0
shrek-2,★★★★,"Family, Adventure, Comedy, Animation, Fantasy",4.1,8360.0
mean-girls,★★★½,"Comedy, Drama",3.8,7451.0
shaun-of-the-dead,★★★½,"Comedy, Horror",4.0,8874.0
eternal-sunshine-of-the-spotless-mind,★★★★½,"Science Fiction, Romance, Drama",4.2,7361.0
the-lord-of-the-rings-the-return-of-the-king,★★★★★,"Fantasy, Adventure, Action",4.5,7153.0
slim-susie,★★★★½,"Crime, Comedy",3.6,41912.0
kill-bill-vol-1,★★★,"Crime, Action",4.2,6874.0
love-actually,★★★,"Drama, Romance, Comedy",3.5,6942.0
lost-in-translation,★★★★,"Drama, Comedy, Romance",3.8,6711.0
spy-kids-3-d-game-over,★★½,"Comedy, Science Fiction, Family, Action, Adventure",2.5,6566.0
pirates-of-the-caribbean-the-curse-of-the-black-pearl,★★★½,"Fantasy, Adventure, Action",4.0,6539.0
hulk,★★,"Science Fiction, Adventure, Action",2.4,6534.0
finding-nemo,★★★★,"Animation, Family",4.0,6377.0
evil,★★★★,Drama,3.8,27700.0
bruce-almighty,★★★,"Comedy, Fantasy",3.2,6373.0
memories-of-murder,★★★★½,"Thriller, Drama, Crime",4.4,31364.0
x2,★★★,"Action, Adventure, Science Fiction",3.4,6333.0
johnny-english,★★★,"Adventure, Comedy, Action",3.0,6550.0
the-lord-of-the-rings-the-two-towers,★★★★½,"Fantasy, Adventure, Action",4.4,5952.0
catch-me-if-you-can-2002,★★★★,"Drama, Crime",4.0,5989.0
harry-potter-and-the-chamber-of-secrets,★★★½,"Fantasy, Adventure",3.6,5816.0
8-mile,★★★½,"Drama, Music",3.6,5810.0
lilya-4-ever,★★★★,"Drama, Crime",4.1,6291.0
spy-kids-2-the-island-of-lost-dreams,★★½,"Action, Adventure, Science Fiction, Family, Comedy",2.8,5504.0
austin-powers-in-goldmember,★★★,"Comedy, Crime, Science Fiction",3.0,5481.0
men-in-black-ii,★★½,"Science Fiction, Comedy, Action",3.0,5459.0
